id,user_id,datos,updated_at
04228997-4541-49ca-ba67-8926dd1f33a6,1fd844a1-e6ff-41a0-ad32-02af29b43c0e,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-27 20:09:01.895
04941ddc-a8e2-460c-83ca-86ff2822b1a8,cca39141-6fe4-4cf8-8d79-b716839fa3f0,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-27 23:17:37.692
088043e5-5385-4a4f-9e59-6ad36d99b4a2,dd36b96a-ae3b-4ed4-901b-4353c1c64610,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-20 18:19:33.456
08f5203f-3cfe-4f75-8985-5b0f8c298101,fdc54a9b-d7c4-4406-b4e8-a6914c1c8c0c,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-20 03:07:37.182
09cb265f-a846-48f8-be37-2c1c1f4a8049,a0d6c472-efcc-44c4-8659-d5e59d7afae6,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-29 05:12:03.356
12e57b05-bfb5-46a2-8a05-fecdb0e225d7,6b71c445-a8f9-4e4b-840c-93f1f1a08064,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-24 02:15:23.091
2792ebca-0ef2-4016-9493-16a09e78c8ee,ebd41f2b-d21e-4ea0-9f40-354c3202d582,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-21 20:43:45.723
31b081d1-e703-4def-8f62-82a4f984d874,5e1c893b-e862-4203-90dc-1e19e452baa0,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-21 22:56:51.467
34fb2333-1dfd-42f7-b628-ee504ebb5f1a,0a4d17e6-babd-4459-99a6-1f343f1f2656,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-29 00:29:15.655
3d40eca5-0a70-4018-bc8e-b766ea77c16f,3bf673d4-e9d9-4fe6-b1bf-5bc8c288f241,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-21 15:16:17.686
3ddc4ec6-9c7e-42fa-a228-09615ebf7dfd,0f766ee9-e69e-4cfd-8326-0d32f91abda4,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-24 20:41:15.6
41eb3aa2-c0f3-4bfe-be80-b24bbecdfe38,f605e3d1-0519-4375-aed0-5e0b1d0bba9a,"{""sesiones"":[],""materiasStats"":{},""flashcardsFalladas"":{},""flashcardsAcertadas"":{}}",2026-04-27 00:35:41.052
